Kood;Lühinimetus;Nimetus;Pikk_nimetus;Vanem_kood;Hierarhia_aste;Kehtivuse_alguse_kpv;Kehtivuse_lõpu_kpv;Viimane_muudatus_kpv;Staatus;Selgitus
JLB42;;Transduodenaalne endoskoopiline pankrease juha dilateerimine;Transduodenal endoscopic dilatation of pancreatic duct;;0;01.01.2003;;;1;
JLB96;;Pankrease muu intsisioon, dreenimine või dilateerimine;Other incision, drainage or dilatation of pancreas;;0;01.01.2003;;;1;
JLB98;;Muu transduodenaalne endoskoopiline pankrease intsisioon, dreenimine või dilateerimine;Other transduodenal endoscopic incision, drainage or dilatation of pancreas;;0;01.01.2003;;;1;
JLC00;;Pankrease lesiooni ekstsisioon;Excision of lesion of pancreas;;0;01.01.2003;;;1;
JLC10;;Distaalne pankreatektoomia;Distal pancreatectomy;;0;01.01.2003;;;1;
JLC20;;Totaalne pankreatektoomia;Total pancreatectomy;;0;01.01.2003;;;1;
JLC30;;Pankreatoduodenektoomia;Pancreatoduodenectomy;;0;01.01.2003;;;1;
JLC40;;Totaalne pankreatoduodenektoomia;Total pancreatoduodenectomy;;0;01.01.2003;;;1;
JLC50;;Atüüpiline pankreatektoomia;Atypical pancreatectomy;;0;01.01.2003;;;1;
JLC96;;Muu pankreatektoomia;Other pancreatectomy;;0;01.01.2003;;;1;
JLD00;;Pankreatikojejunostoomia;Pancreaticojejunostomy;;0;01.01.2003;;;1;
JLD10;;Pankrease pseudotsüsti anastomoos maoga;Anastomosis of pancreatic pseudocyst to stomach;;0;01.01.2003;;;1;
JLD12;;Pankrease pseudotsüsti endoskoopiline dreenimine;Endoscopic drainage of pancreatic pseudocyst;;0;01.01.2003;;;1;
JLD20;;Pankrease pseudotsüsti anastomoos jejuunumiga;Anastomosis of pancreatic pseudocyst to jejunum;;0;01.01.2003;;;1;
JLD22;;Pankrease pseudotsüsti endoskoopiline dreenimine jejuunumisse;Endoscopic drainage of pancreatic pseudocyst to jejunum;;0;01.01.2003;;;1;
JLE00;;Allogeense pankrease totaalne transplantatsioon koos pankreatikotsüstostoomiaga;Allogenic total transplantation of pancreas with pancraticocystostomy;;0;01.01.2003;;;1;
JLE03;;Allogeense pankrease totaalne transplantatsioon koos pankreatikoenterostoomiaga;Allogenic total transplantation of pancreas with pancreaticoenterostomy;;0;01.01.2003;;;1;
JLE10;;Allogeense pankrease segmentaarne transplantatsioon;Allogenic segmental transplantation of pancreas;;0;01.01.2003;;;1;
JLE16;;Allogeense pankrease segmentaarne transplantatsioon elusdoonorilt;Allogenic segmental transplantation of pancreas from living donor;;0;01.01.2003;;;1;
JLE20;;Allogeenne Langerhansi saarekeste rakkude transplantatsioon;Allogenic islet cell transplantation;;0;01.01.2003;;;1;
JLE30;;Ksenogeenne Langerhansi saarekeste rakkude transplantatsioon;Xenogenic islet cell transplantation;;0;01.01.2003;;;1;
JLE40;;Transplanteeritud pankrease totaalne eemaldamine;Total excision of transplanted pancreas;;0;01.01.2003;;;1;
JLE50;;Transplanteeritud pankrease juha oklusioon;Occlusion of duct of transplanted pancreas;;0;01.01.2003;;;1;
JLE56;;Pankreatikotsüstostoomia muutmine pankreatikoenterostoomiaks;Conversion of pancreaticocystostomy to pancreaticoenterostomy;;0;01.01.2003;;;1;
JLE96;;Pankrease muu transplantatsioon või sellega seotud operatsioon;Other transplantation of pancreas or related operation;;0;01.01.2003;;;1;
JLT00;;Pankrease juha kivide kehaväline purustamine;Extracorporeal shock wave lithotripsy of pancreatic duct;;0;01.01.2003;;;1;
JLW96;;Muu operatsioon pankreasel;Other operation on pancreas;;0;01.01.2003;;;1;
JLW97;;Muu laparoskoopiline operatsioon pankreasel;Other laparoscopic operation on pancreas;;0;01.01.2003;;;1;
JLW98;;Muu transluminaalne endoskoopiline operatsioon pankreasel;Other transluminal endoscopic operation on pancreas;;0;01.01.2003;;;1;
JMA00;;Osaline splenektoomia;Partial splenectomy;;0;01.01.2003;;;1;
JMA10;;Transabdominaalne totaalne splenektoomia;Transabdominal total splenectomy;;0;01.01.2003;;;1;
JMA11;;Laparoskoopiline totaalne splenektoomia;Laparoscopic total splenectomy;;0;01.01.2003;;;1;
JMA20;;Transtorakaalne totaalne splenektoomia;Transthoracic total splenectomy;;0;01.01.2003;;;1;
JMB00;;Põrna biopsia;Biopsy of spleen;;0;01.01.2003;;;1;
JMB01;;Laparoskoopiline põrna biopsia;Laparoscopic biopsy of spleen;;0;01.01.2003;;;1;
JMB10;;Põrna vigastuse korrektsioon;Repair of spleen;;0;01.01.2003;;;1;
JMW96;;Muu operatsioon põrnal;Other operation on spleen;;0;01.01.2003;;;1;
JMW97;;Muu laparoskoopiline operatsioon põrnal;Other laparoscopic operation on spleen;;0;01.01.2003;;;1;
JWA00;;Haava dehistsentsi korrektsioon gastroenteroloogilises kirurgias;Repair of wound dehiscence in gastroenterological surgery;;0;01.01.2003;;;1;
JWB00;;Kordusoperatsioon pindmise infektsiooni korral gastroenteroloogilises kirurgias;Reoperation for superficial infection in gastroenterological surgery;;0;01.01.2003;;;1;
JWC00;;Kordusoperatsioon süvainfektsiooni korral gastroenteroloogilises kirurgias;Reoperation for deep infection in gastroenterological surgery;;0;01.01.2003;;;1;
JWC01;;Perkutaanne endoskoopiline kordusoperatsioon süvainfektsioonide korral gastroenteroloogilises kirurgias;Percutaneous endoscopic reoperation for deep infection in gastroenterological surgery;;0;01.01.2003;;;1;
JWD00;;Kordusoperatsioon pindmise verejooksu korral gastroenteroloogilises kirurgias;Reoperation for superficial haemorrhage in gastroenterological surgery;;0;01.01.2003;;;1;
JWE00;;Kordusoperatsioon sisemise verejooksu korral gastroenteroloogilises kirurgias;Reoperation for deep haemorrhage in gastroenterological surgery;;0;01.01.2003;;;1;
JWE01;;Perkutaanne endoskoopiline kordusoperatsioon sisemise verejooksu korral gastroenteroloogilises kirurgias;Percutaneous endoscopic reoperation for deep haemorrhage in gastroenterological surgery;;0;01.01.2003;;;1;
JWE02;;Transluminaalne endoskoopiline kordusoperatsioon sisemise verejooksu korral gastroenteroloogilises kirurgias;Transluminal endoscopic reoperation for deep haemorrhage in gastroenterological surgery;;0;01.01.2003;;;1;
JWF00;;Kordusoperatsioon anastomoosi või õmbluse dehistsentsi korral gastroenteroloogilises kirurgias;Reoperation for insufficiency of anastomosis or suture in gastroenterological surgery;;0;01.01.2003;;;1;
JWF01;;Perkutaanne endoskoopiline kordusoperatsioon anastomoosi või õmbluse dehistsentsi korral gastroenteroloogilises kirurgias;Percutaneous endoscopic reoperation for insufficiency of anastomosis or suture in gastroenterological;;0;01.01.2003;;;1;
JWW96;;Muu kordusoperatsioon gastroenteroloogilises kirurgias;Other reoperation in gastroenterological surgery;;0;01.01.2003;;;1;
JWW97;;Muu perkutaanne endoskoopiline kordusoperatsioon gastroenteroloogilises kirurgias;Other percutaneous endoscopic reoperation in gastroenterological surgery;;0;01.01.2003;;;1;
JWW98;;Muu transluminaalne endoskoopiline kordusoperatsioon gastroenteroloogilises kirurgias;Other transluminal endoscopic reoperation in gastroenterological surgery;;0;01.01.2003;;;1;
JXA00;;JA alapeatükis defineerimata algpaikmega laialdase kõhuseinakasvaja lesioonisisene ektsisoon;Intralesional excision of extensive tumour of abdominal wall without defined origin in JA subgroup;;0;01.01.2012;;;1;
JXA03;;JA alapeatükis defineerimata algpaikmega laialdase kõhuseinakasvaja väheulatuslik ektsisioon;Marginal excision of extensive tumour of abdominal wall without defined origin in JA subgroup;;0;01.01.2012;;;1;
JXA06;;JA alapeatükis defineerimata algpaikmega laialdase kõhuseinakasvaja laialdane ektsisioon;Wide excision of extensive tumour of abdominal wall without defined origin in JA subgroup;;0;01.01.2012;;;1;
JXA10;;Teistes J alapeatükkides defineerimata algpaikmega laialdase kõhukoopasisese tuumori lesioonisisene ektsisoon;Intralesional excision of extensive tumour of abdominal cavity without defined origin in chapter J two-character group;;0;01.01.2012;;;1;
JXA13;;Teistes J alapeatükkides defineerimata algpaikmega laialdase kõhukoopasisese tuumori väheulatuslik ektsisioon;Marginal excision of extensive tumour of abdominal cavity without defined origin in chapter J two-character group;;0;01.01.2012;;;1;
JXA16;;Teistes J alapeatükkides defineerimata algpaikmega laialdase kõhukoopasisese tuumori laialdane ektsisioon;Wide excision of extensive tumour of abdominal cavity without defined origin in chapter J two-character group;;0;01.01.2012;;;1;
KA2AT;;Siirdatud neeru biopsia ultraheli kontrolli all;Biopsy of transplanted kidney with ultrasound guidance;;0;01.01.2018;;;1;
KA3AT;;Neerubiopsia ultraheli kontrolli all;Biopsy of kidney with ultrasound guidance;;0;01.01.2018;;;1;
KA3CT;;Neerubiopsia KT kontrolli all;Biopsy of kidney with CT guidance;;0;01.01.2018;;;1;
KA3DT;;Neerubiopsia MRT kontrolli all;Biopsy of kidney with MRI guidance;;0;01.01.2018;;;1;
KA3LT;;Neerukoe perkutaanne destruktsioon;Percutaneous tissue destruction of kidney;;0;01.01.2022;;;1;
KA3MT;;Neerumetastaasi koagulatsioon ultraheli kontrolliga;Coagulation of renal methastasis with ultrasound guidance;;0;01.01.2022;;;1;
KA4AT;;Tsütoloogia neerust ultraheli kontrolli all;Cytology of kidney with ultrasound guidance;;0;01.01.2018;;;1;
KA4CT;;Tsütoloogia neerust KT kontrolli all;Cytology of kidney with CT guidance;;0;01.01.2018;;;1;
KA4DT;;Tsütoloogia neerust MRT kontrolli all;Cytology of kidney with MRI guidance;;0;01.01.2018;;;1;
KA5AT;;Neerutsüsti punktsioon ultraheli kontrolli all;Puncture of kidney cyst with ultrasound guidance;;0;01.01.2018;;;1;
KA5BT;;Neerutsüsti punktsioon röntgeni kontrolli all;Puncture of kidney cyst with X-ray guidance;;0;01.01.2018;;;1;
KA5CT;;Neerutsüsti punktsioon KT kontrolli all;Puncture of kidney cyst with CT guidance;;0;01.01.2018;;;1;
KA6KT;;Neerutsüsti skleroteraapia;Sclerotherapy of kidney cyst;;0;01.01.2018;;;1;
KAA00;;Neeru eksploratsioon;Exploration of kidney;;0;01.01.2003;;;1;
KAA01;;Perkutaanne endoskoopiline neeru eksploratsioon;Percutaneous endoscopic exploration of kidney;;0;01.01.2003;;;1;
KAA20;;Eksploratiivne nefrotoomia;Exploratory nephrotomy;;0;01.01.2003;;;1;
KAA21;;Perkutaanne endoskoopiline eksploratiivne nefrotoomia;Percutaneous endoscopic exploratory nephrotomy;;0;01.01.2003;;;1;
KAA30;;Eksploratiivne püelotoomia;Exploratory pyelotomy;;0;01.01.2003;;;1;
KAA31;;Perkutaanne nefroskoopia;Percutaneous nephroscopy;;0;01.01.2003;;;1;
KAA96;;Neeru ja neeruvaagna muu eksploratsioon;Other exploration of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAA97;;Neeru ja neeruvaagna muu perkutaanne endoskoopia;Other percutaneous endoscopy of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAB00;;Neeru ja neeruvaagna biopsia;Biopsy of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAB01;;Perkutaanne endoskoopiline neeru ja neeruvaagna biopsia;Percutaneous endoscopic biopsy of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAC00;;Nefrektoomia;Nephrectomy;;0;01.01.2003;;;1;
KAC01;;Perkutaanne endoskoopiline nefrektoomia;Percutaneous endoscopic nephrectomy;;0;01.01.2003;;;1;
KAC10;;Neeru täielik emaldamine koos kapsliga;Total nephrectomy with capsule;;0;01.01.2018;;;1;
KAC11;;Neeru  täielik transkutaanne eemaldamine koos kapsliga;"Total nephrectomy with capsule; transcutaneous";;0;01.01.2018;;;1;
KAC20;;Nefroureterektoomia;Nephroureterectomy;;0;01.01.2003;;;1;
KAC21;;Perkutaanne endoskoopiline nefroureterektoomia;Percutaneous endoscopic nephroureterectomy;;0;01.01.2003;;;1;
KAD00;;Osaline nefrektoomia;Partial nephrectomy;;0;01.01.2003;;;1;
KAD01;;Perkutaanne endoskoopiline osaline nefrektoomia;Percutaneous endoscopic partial nephrectomy;;0;01.01.2003;;;1;
KAD10;;Heminefrektoomia;Heminephrectomy;;0;01.01.2003;;;1;
KAD11;;Perkutaanne endoskoopiline heminefrektoomia;Percutaneous endoscopic heminephrectomy;;0;01.01.2003;;;1;
KAD40;;Neeruvaagna osaline ekstsisioon;Partial excision of pelvis of kidney;;0;01.01.2003;;;1;
KAD41;;Perkutaanne endoskoopiline osaline neeruvaagna ekstsisioon;Percutaneous endoscopic partial excision of pelvis of kidney;;0;01.01.2003;;;1;
KAD50;;Neeruvaagna tuumori destruktsioon;Destruction of tumour of pelvis of kidney;;0;01.01.2003;;;1;
KAD51;;Perkutaanne endoskoopiline neeruvaagna tuumori destruktsioon;Percutaneous endoscopic destruction of tumour of pelvis of kidney;;0;01.01.2003;;;1;
KAD52;;Retrograadne ureteronefroskoopiline neeruvaagna tuumori destruktsioon;Retrograde ureteronephroscopic destruction of tumour of pelvis of kidney;;0;01.01.2003;;;1;
KAD56;;Renaalse parenhüümi kahjustuskolde destruktsioon;Destruction of lesion of renal parenchyma;;0;01.01.2010;;;1;
KAD60;;Renaalse parenhüümi kahjustuskolde perkutaanne destruktsioon;Percutaneous destruction of lesion of renal parenchyma;;0;01.01.2010;;;1;
KAD96;;Neeru või neeruvaagna muu osaline ekstsisioon;Other partial excision of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAD97;;Muu perkutaanne endoskoopiline neeru või neeruvaagna tuumori osaline ekstsisioon või destruktsioon;Other percutaneous endoscopic partial excision or destruction of tumour of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAD98;;Muu transluminaalne endoskoopiline neeruvaagna osaline ekstsisioon;Other transluminal endoscopic partial excision of pelvis of kidney;;0;01.01.2003;;;1;
KAE00;;Nefrolitotoomia;Nephrolithotomy;;0;01.01.2003;;;1;
KAE01;;Nefroskoopiline nefrolitotoomia;Nephroscopic nephrolithotomy;;0;01.01.2003;;;1;
KAE10;;Püelolitotoomia;Pyelolithotomy;;0;01.01.2003;;;1;
KAE11;;Nefroskoopiline püelolitotoomia;Nephroscopic pyelolithotomy;;0;01.01.2003;;;1;
KAE12;;Retrograadne ureteronefroskoopiline litotripsia neeruvaagnas;Retrograde ureteronephroscopic lithotripsy in pelvis of kidney;;0;01.01.2003;;;1;
KAE96;;Kivide muu eemaldamine neerust ja neeruvaagnast;Other removal of calculus from kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAE97;;Muu perkutaanne endoskoopiline kivide eemaldamine neerust ja neeruvaagnast;Other percutaneous endosopic removal of calculus from kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAE98;;Muu transluminaalne endoskoopiline kivide eemaldamine neerust ja neeruvaagnast;Other transluminal endosopic removal of calculus from kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAF00;;Võõrkeha eemaldamine neerust;Removal of foreign body from kidney;;0;01.01.2003;;;1;
KAF01;;Perkutaanne endoskoopiline võõrkeha eemaldamine neerust;Percutaneous endoscopic removal of foreign body from kidney;;0;01.01.2003;;;1;
KAF10;;Võõrkeha eemaldamine neeruvaagnast;Removal of foreign body from pelvis of kidney;;0;01.01.2003;;;1;
KAF11;;Perkutaanne endoskoopiline võõrkeha eemaldamine neeruvaagnast;Percutaneous endoscopic removal of foreign body from pelvis of kidney;;0;01.01.2003;;;1;
KAF12;;Transluminaalne endoskoopiline võõrkeha eemaldamine neeruvaagnast;Transluminal endoscopic removal of foreign body from pelvis of kidney;;0;01.01.2003;;;1;
KAH00;;Neeru suturatsioon;Suture of kidney;;0;01.01.2003;;;1;
KAH01;;Perkutaanne endoskoopiline neeru suturatsioon;Percutaneous endoscopic suture of kidney;;0;01.01.2003;;;1;
KAH10;;Neeruvaagna suturatsioon;Suture of pelvis of kidney;;0;01.01.2003;;;1;
KAH11;;Perkutaanne endoskoopiline neeruvaagna suturatsioon;Percutaneous endoscopic suture of pelvis of kidney;;0;01.01.2003;;;1;
KAH12;;Retrograadne ureteronefroskoopiline neeruvaagna suturatsioon;Retrograde ureteronephroscopic suture of pelvis of kidney;;0;01.01.2003;;;1;
KAH21;;Neeruvaagna perkutaanne laiendamine;Percutaneous dilatation of renal pelvis;;0;01.01.2022;;;1;
KAH22;;Neeruvaagna transluminaalne laiendamine;Transluminal dilatation of renal pelvis;;0;01.01.2022;;;1;
KAH30;;Püeloureteroplastika ilma püeloureteraalsegmendi resektsioonita;Pyeloureteroplasty without division of ureteropelvic junction;;0;01.01.2003;;;1;
KAH31;;Perkutaanne endoskoopiline püeloureteroplastika ilma püeloureteraalsegmendi resektsioonita;Percutaneous endoscopic pyeloureteroplasty without division of ureteropelvic junction;;0;01.01.2003;;;1;
KAH40;;Püeloureteroplastika püeloureteraalsegmendi resektsiooniga;Pyeloureteroplasty with division of ureteropelvic junction;;0;01.01.2003;;;1;
KAH41;;Perkutaanne endoskoopiline püeloureteroplastika püeloureteraalsegmendi resektsiooniga;Percutaneous endoscopic pyeloureteroplasty with division of ureteropelvic junction;;0;01.01.2003;;;1;
KAH50;;Ureeteri ja neerukarika vaheline anastomoos;Ureterocalyceal anastomosis;;0;01.01.2003;;;1;
KAH51;;Perkutaanne endoskoopiline ureeteri ja neerukarika vaheline anastomoos;Percutaneous endoscopic ureterocalyceal anastomosis;;0;01.01.2003;;;1;
KAH54;;Perkutaanne endoskoopiline neerukarika kaela intsisioon või dilatatsioon;Percutaneous endoscopic incision or dilatation of neck of calyx;;0;01.01.2003;;;1;
KAH55;;Retrograadne ureteronefroskoopiline neerukarika kaela intsisioon või dilatatsioon;Retrograde ureteronephroscopic incision or dilatation of neck of calyx;;0;01.01.2003;;;1;
KAH61;;Perkutaanne endoskoopiline püeloureteraalsegmendi resektsioon;Percutaneous endoscopic incision of ureteropelvic junction;;0;01.01.2003;;;1;
KAH62;;Endopüelotoomia;Endopyelotomy;;0;01.01.2003;;;1;
KAH70;;Püeloureteraalsegmendi liidetest vabastamine;Freeing of adhesions of ureteropelvic junction;;0;01.01.2003;;;1;
KAH71;;Perkutaanne endoskoopiline püeloureteraalsegmendi liidetest vabastamine;Percutaneous endoscopic freeing of adhesions of ureteropelvic junction;;0;01.01.2003;;;1;
KAH80;;Nefropeksia;Nephropexy;;0;01.01.2003;;;1;
KAH81;;Perkutaanne endoskoopiline nefropeksia;Percutaneous endoscopic nephropexy;;0;01.01.2003;;;1;
KAH96;;Neeru või neeruvaagna muu rekonstruktsioon;Other reconstruction of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAH97;;Muu perkutaanne endoskoopiline neeru või neeruvaagna rekonstruktsioon;Other percutaneous endoscopic reconstruction of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAH98;;Muu transluminaalne endoskoopiline neeru või neeruvaagna rekonstruktsioon;Other transluminal endoscopic reconstruction of kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAJ00;;Nefrostoomia;Nephrostomy;;0;01.01.2003;;;1;
KAJ01;;Perkutaanne endoskoopiline nefrostoomia;Percutaneous endoscopic nephrostomy;;0;01.01.2003;;;1;
KAJ02;;Retrograadne ureteronefroskoopiline nefrostoomia;Retrograde ureteronephroscopic nephrostomy;;0;01.01.2003;;;1;
KAJ08;;Nefrostoomi kateetri vahetus;Exchange of nephropyelostomy catheter;;0;01.01.2022;;;1;
KAJ10;;Püelostoomia;Pyelostomy;;0;01.01.2003;;;1;
KAJ11;;Perkutaanne endoskoopiline püelostoomia;Percutaneous endoscopic pyelostomy;;0;01.01.2003;;;1;
KAJ96;;Neeruvaagna muu väline dreenimine;Other external drainage of pelvis of kidney;;0;01.01.2003;;;1;
KAJ97;;Muu perkutaanne endoskoopiline neeruvaagna väline dreenimine;Other percutaneous endoscopic external drainage of pelvis of kidney;;0;01.01.2003;;;1;
KAJ98;;Muu transluminaalne endoskoopiline neeruvaagna väline dreenimine;Other transluminal endoscopic external drainage of pelvis of kidney;;0;01.01.2003;;;1;
KAS00;;Neeru autotransplantatsioon;Autotransplantation of kidney;;0;01.01.2003;;;1;
KAS10;;Kadaveerse doonorneeru transplantatsioon;Allogenic transplantation of kidney from cadaver donor;;0;01.01.2003;;;1;
KAS20;;Elusdoonori neeru transplantatsioon;Allogenic transplantation of kidney from living donor;;0;01.01.2003;;;1;
KAS40;;Transplanteeritud neeru eemaldamine;Excision of transplanted kidney;;0;01.01.2003;;;1;
KAS41;;Perkutaanne endoskoopiline transplanteeritud neeru eemaldamine;Percutaneous endoscopic excision of transplanted kidney;;0;01.01.2003;;;1;
KAS50;;Nefrotsüstostoomia transplanteeritud neerul;Nephrocystostomy in transplanted kidney;;0;01.01.2003;;;1;
KAS60;;Transplanteeritud neeru lümfotseele fenestratsioon;Operation for lymphocele of transplanted kidney;;0;01.01.2003;;;1;
KAS61;;Perkutaanne endoskoopiline lümfotseele fenestratsioon;Percutaneous endoscopic operation for lymphocele of transplanted kidney;;0;01.01.2003;;;1;
KAS96;;Neeru muu transplantatsioon või sellega seotud protseduur;Other transplantation of kidney or related procedure;;0;01.01.2003;;;1;
KAS97;;Muu perkutaanne endoskoopiline protseduur transplanteeritud neerud;Other percutaneous endoscopic procedure on transplanted kidney;;0;01.01.2003;;;1;
KAT00;;Kehaväline neeruvaagna kivi purustus lööklainega;Extracorporeal shock wave lithotripsy of pelvis of kidney;;0;01.01.2003;;;1;
KAW96;;Muu operatsioon neerul või neeruvaagnal;Other operation on kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAW97;;Muu perkutaanne endoskoopiline operatsioon neerul või neeruvaagnal;Other percutaneous endoscopic operation on kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAW98;;Muu transluminaalne endoskoopiline operatsioon neerul või neeruvaagnal;Other transluminal endoscopic operation on kidney or pelvis of kidney;;0;01.01.2003;;;1;
KAX44;;Nefrostoomi loputus;Nephrostomy rinsing;;0;01.01.2022;;;1;
KAX88;;Ülemise urotrakti intraluminaalse kateetri eemaldamine;Upper urinary tract inraluminal catheter removal;;0;01.01.2018;;;1;
KB003;;Ureetri transluminaalne endoskoopiline kateteriseerimine;Transluminal endoscopic catheterisation of ureter;;0;01.01.2022;;;1;
KBA00;;Ureeteri eksploratsioon;Exploration of ureter;;0;01.01.2003;;;1;
KBA01;;Perkutaanne nefroureteroskoopia;Percutaneous nephroureteroscopy;;0;01.01.2003;;;1;
KBA10;;Eksploratiivne ureterotoomia;Exploratory ureterotomy;;0;01.01.2003;;;1;
KBA11;;Perkutaanne endoskoopiline eksploratiivne ureterotoomia;Percutaneous endoscopic exploratory ureterotomy;;0;01.01.2003;;;1;
KBA96;;Ureeteri muu eksploratsioon;Other exploration of ureter;;0;01.01.2003;;;1;
KBA97;;Muu perkutaanne endoskoopiline ureeteri intsisioon;Other percutaneous endoscopy or endoscopic incision of ureter;;0;01.01.2003;;;1;
KBB00;;Ureeteri biopsia;Biopsy of ureter;;0;01.01.2003;;;1;
KBB01;;Perkutaanne endoskoopiline ureeteri biopsia;Percutaneous endoscopic biopsy of ureter;;0;01.01.2003;;;1;
KBC00;;Ureterektoomia;Ureterectomy;;0;01.01.2003;;;1;
KBC01;;Perkutaanne endoskoopiline ureterektoomia;Percutaneous endoscopic ureterectomy;;0;01.01.2003;;;1;
KBD00;;Osaline ureeteri eemaldamine;Partial excision of ureter;;0;01.01.2003;;;1;
KBD01;;Perkutaanne endoskoopiline ureeteri osaline eemaldamine;Percutaneous endoscopic partial excision of ureter;;0;01.01.2003;;;1;
KBD02;;Ureetri transluminaalne endoskoopiline osaline ekstsisioon;Transluminal endoscopic partial excision of ureter;;0;01.01.2022;;;1;
KBD20;;Ureeteri tuumori destruktsioon;Destruction of tumour of ureter;;0;01.01.2003;;;1;
KBD21;;Perkutaanne endoskoopiline ureeteri tuumori destruktsioon;Percutaneous endoscopic destruction of tumour of ureter;;0;01.01.2003;;;1;
KBD22;;Retrograadne ureteroskoopiline ureeteri tuumori destruktsioon;Retrograde ureteroscopic destruction of tumour of ureter;;0;01.01.2003;;;1;
KBD30;;Ureeteri köndi ekstsisioon;Excision of stump of ureter;;0;01.01.2003;;;1;
KBD31;;Perkutaanne endoskoopiline ureeteri köndi ekstsisioon;Percutaneous endoscopic excision of stump of ureter;;0;01.01.2003;;;1;
KBD96;;Muu osaline ureeteri eemaldamine või ureeteri tuumori destruktsioon;Other partial excision of ureter or destruction of tumour of ureter;;0;01.01.2003;;;1;
KBD97;;Muu perkutaanne endoskoopiline ureeteri osaline eemaldamine või ureeteri tuumori destruktsioon;Other percutaneous endoscopic partial excision of ureter or destruction of tumour of ureter;;0;01.01.2003;;;1;
KBE00;;Ureterolitotoomia;Ureterolithotomy;;0;01.01.2003;;;1;
KBE01;;Perkutaanne endoskoopiline ureterolitotoomia;Percutaneous endoscopic ureterolithotomy;;0;01.01.2003;;;1;
KBE12;;Transluminaalne endoskoopiline ureeteri kivi eemaldamine;Transluminal endoscopic extraction of calculus of ureter;;0;01.01.2003;;;1;
KBE22;;Ureeterisse pitsunud konkremendi transluminaalne endoskoopiline eemaldamine;Transluminal endoscopic dislodgement of impacted calculus from ureter;;0;01.01.2003;;;1;
KBE96;;Muu operatsioon ureeteri kivi korral;Other operation for calculus of ureter;;0;01.01.2003;;;1;
KBE97;;Muu perkutaanne endoskoopiline operatsioon ureeteri kivi korral;Other percutaneous endoscopic operation for calculus of ureter;;0;01.01.2003;;;1;
KBE98;;Muu transluminaalne endoskoopiline operatsioon ureeteri kivi korral;Other transluminal endoscopic operation for calculus of ureter;;0;01.01.2003;;;1;
KBF00;;Võõrkeha eemaldamine ureeterist;Removal of foreign body from ureter;;0;01.01.2003;;;1;
KBF01;;Perkutaanne endoskoopiline võõrkeha eemaldamine ureeterist;Percutaneous endoscopic removal of foreign body from ureter;;0;01.01.2003;;;1;
KBF02;;Transluminaalne endoskoopiline võõrkeha eemaldamine ureeterist;Transluminal endoscopic removal of foreign body from ureter;;0;01.01.2003;;;1;
KBH00;;Ureeteri suturatsioon;Suture of ureter;;0;01.01.2003;;;1;
KBH01;;Perkutaanne endoskoopiline ureeteri suturatsioon;Percutaneous endoscopic suture of ureter;;0;01.01.2003;;;1;
KBH06;;Ureteroureterostoomia;Ureteroureterostomy;;0;01.01.2003;;;1;
KBH10;;Ureeteri ühendamine kontralateraalse ureeteriga;Connection of ureter to contralateral ureter;;0;01.01.2003;;;1;
KBH20;;Ureeteri replantatsioon;Replantation of ureter;;0;01.01.2003;;;1;
KBH21;;Perkutaanne endoskoopiline ureeteri replantatsioon;Percutaneous endoscopic replantation of ureter;;0;01.01.2003;;;1;
KBH30;;Ureeteri asendamine peensoolega;Ileal replacement of ureter;;0;01.01.2003;;;1;
KBH40;;Ureeteri plastiline korrektsioon;Plastic repair of ureter;;0;01.01.2003;;;1;
KBH45;;Endoureterotoomia;Endoureterotomy;;0;01.01.2003;;;1;
KBH50;;Ureterolüüs;Ureterolysis;;0;01.01.2003;;;1;
KBH51;;Perkutaanne endoskoopiline ureterolüüs;Percutaneous endoscopic ureterolysis;;0;01.01.2003;;;1;
KBH61;;Ureetri perkutaanne transluminaalne dilatatsioon;Percutaneous transluminal dilatation of ureter;;0;01.01.2022;;;1;
KBH62;;Transluminaalne endoskoopiline ureeteri dilatatsioon;Transluminal endoscopic dilatation of ureter;;0;01.01.2003;;;1;
KBH96;;Ureeteri muu korrektsioon või ühendus;Other repair or connection of ureter;;0;01.01.2003;;;1;
KBH97;;Muu perkutaanne endoskoopiline ureeteri korrektsioon või ühendus;Other percutaneous endoscopic repair or connection of ureter;;0;01.01.2003;;;1;
KBH98;;Muu transluminaalne endoskoopiline ureeteri korrektsioon;Other transluminal endoscopic repair of ureter;;0;01.01.2003;;;1;
KBJ00;;Ureterokutaneostoomia;Cutaneous ureterostomy;;0;01.01.2003;;;1;
